androidx/appcompat: {androidx/appcompat, 9f6e079cebc4cdf2264d5f14162d6843}
r: {r, 925249fd57067b62b7790b43d978c37d}
androidx/fragment: {androidx/fragment, b8a5eeeff6a3f096ea46ab164a922502}
s: {s, 9b25d8fc9dfb92f589f54f4867f4bd21}
t: {t, 16e4f149362097de2d639cef9606d806}
kotlin/reflect: {kotlin/reflect, 9c6c0b66d6c47154da14ad4cd741c190}
kotlin/text: {kotlin/text, 6d3ac1938a5d23009a30c9a56239687f}
org/openintents/openpgp: {org/openintents/openpgp, 1798b0dc4ddc5499ed5c95c966b6fa9a}
androidx/versionedparcelable: {androidx/versionedparcelable, ccb7f48781736d944533f9edee3d176d}
okhttp3: {okhttp3, d2c08ef09c3c313a0af4e4ffa8ea9222}
org/bouncycastle/apache: {org/bouncycastle/apache, 35359ba2f9a5a6f5bc0bd490113ca469}
androidx/core: {androidx/core, 6ab4019e257fe963cbb49be3846b9bc2}
androidx/collection: {androidx/collection, 8ca0f268001c45fe3e6d3a4f4a345c9c}
androidx/transition: {androidx/transition, 20511a9d4914fa37c7837868a509b5fe}
l: {l, 275bb000618e3caf96d6002816721a6c}
androidx/legacy/widget: {androidx/legacy/widget, a7398e968b7866769a932f3dacf7b3bf}
androidx/media: {androidx/media, 8e96a9cd4d794c1438e4ffe8928e671d}
androidx/viewpager/widget: {androidx/viewpager/widget, 39c0698d0b294e736aa8cef410c5e2b7}
b0: {b0, 3c9f114e5feb0ca22b935466613433a4}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
u: {u, 462a50f60f597c80d47db4756d06ca4c}
androidx/customview/view: {androidx/customview/view, 2e907f344d4890f33f157e50a6f64e32}
org/sufficientlysecure/htmltextview: {org/sufficientlysecure/htmltextview, 686ea086b1331c9aef4829482f83369e}
j0: {j0, 79db98cc0f53f7d9759bb7f45afd1031}
com/github/rjeschke: {com/github/rjeschke, fbc475c3fcb7a303368f1327522ba7aa}
e: {e, 1eac21e7bd21dff165cb5ab440af4da0}
androidx/recyclerview: {androidx/recyclerview, c3323fafea02d020a95544e790957b47}
q: {q, 327b0073926eede7e4114c05354342e1}
m: {m, 0d197e5fad1fb359bd53b2cb59b28c1a}
org/apache/james: {org/apache/james, 220c3538b50e4d930226f4e9b6ef7d3b}
kotlin/jvm: {kotlin/jvm, 942cd21f5db8ef2186f9e7b641463545}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
com/mikepenz/materialize: {com/mikepenz/materialize, d0c00cd4973736dcf85cfdf815f1f4c2}
f0: {f0, c3b8d4d5024bf3e762ed92a6348e60fe}
androidx/profileinstaller: {androidx/profileinstaller, f18ce9b2d4088aa0969c641d6ec9fa3e}
v: {v, cae3937d20ac39b806736bb25fa45aa1}
n0: {n0, efb360b1d2e100cf98f89d2c64aaea1e}
f: {f, fbbc643217bb6eb58928729c47e39d1e}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 85444249034c4865b1933fc5422e7390}
n: {n, 6f3ce9697dd7b8dfecf77e259c0f049b}
com/google/zxing: {com/google/zxing, 6bd17641c62256ec5c45420877033fe7}
com/cocosw/bottomsheet: {com/cocosw/bottomsheet, 44cdb06b77357316f8b2690c9de96dbd}
androidx/drawerlayout: {androidx/drawerlayout, 89bd75452ea26d73c800a9b0e01eff46}
androidx/loader/content: {androidx/loader/content, 7822eeeae4b254c03427f7e9144494ef}
o: {o, 36a31382d5ca78c0878091c25590fdde}
com/astuetz: {com/astuetz, d27412679205774fede1362a4db606f2}
w: {w, 7c5d9719b5bb89a9144adcbb215093dc}
androidx/arch/core: {androidx/arch/core, e1dcba5b7231aa84f6482f6ee5628a1a}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 528e18c7d785d00d27659f93982ce3dd}
okhttp3/internal: {okhttp3/internal, d97c76d806ff0ea9a4200cf658ec51a7}
d0: {d0, 5f058f9c8a3a36d1542aa5bc3a7dfc61}
g: {g, 7619e3095d3d404cafa5b10ae93d6739}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
com/mikepenz/materialdrawer: {[com/mikepenz/materialdrawer, com/mikepenz/iconics, com/mikepenz/fastadapter, ], 36532f96318042272ffad3e5a34687ef}
i0: {i0, 3358484e46af97d4050f94a405bec7c1}
org/openintents/ssh: {org/openintents/ssh, 1207f16b3ba33bbc9e9ec94a4a886183}
androidx/concurrent/futures: {androidx/concurrent/futures, 8114943d322fe3b2e863681ffd1a1a04}
org/bouncycastle/pqc: {[org/bouncycastle/pqc, org/bouncycastle/crypto, org/bouncycastle/util, org/bouncycastle/math, org/bouncycastle/asn1, ], a38c9177986f509a3fac1a0e2f1ac26b}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 346661c077e31d5155ecacc6e6b01e31}
androidx/lifecycle: {androidx/lifecycle, 2e47c715aa9b0f33c0c070a5342214d8}
kotlin/collections: {kotlin/collections, eb4465e4505df518be24b7de91cfcd0e}
a0: {a0, 1cd6eff836edde55204bce1bd8aae35e}
h: {h, e3e2d91c7e3c9fb76913b22e997a10a8}
org/markdown4j: {org/markdown4j, c3330ae7a13b9970837f006b1aef94bf}
p: {p, 6efa129ba4bdd583ffeef472435b40b3}
com/getbase/floatingactionbutton: {com/getbase/floatingactionbutton, 6e25d8122c6ac056ed6a78e528d77151}
androidx/customview/widget: {androidx/customview/widget, ae9935e0c9e02d376e3f34e455c69160}
org/sufficientlysecure/materialchips: {org/sufficientlysecure/materialchips, 0d0ccbf9f710d4484283d2b1c74810d2}
kotlin: {kotlin, b7568e96f329029bf3e86171c0aaaa90}
h0: {h0, 37b66c7021a1f408e1d6b846b11ef7eb}
kotlin/coroutines: {kotlin/coroutines, d8ffca632ed4e0d77225b504f9f771b5}
nordpol: {nordpol, e2cac03dc8b897844d46311a34386d68}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 88fd78d0e8492fa2e949426d061cb4e4}
m0: {m0, a1c9432a2116093b3e138485cf91a3c7}
e0: {e0, 48d03c3781d5c882d8422651da26adca}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
com/mikepenz/community_material_typeface_library: {com/mikepenz/community_material_typeface_library, 8528f788a9b4ad413a70a57090a89d33}
i: {i, 2fddf3c0976f45b757186661490fe8b1}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 06e62f2f925d46c6bf93a31d269366bf}
androidx/work: {androidx/work, 83610a26b60c74e826c19b747dc8f813}
l0: {l0, 63603d88f0dbbce158ef7235eb3bebf8}
androidx/emoji2/text: {androidx/emoji2/text, 9705523ec3f0a9a9434fb7c21e2b92db}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
org/bouncycastle/openpgp: {[org/bouncycastle/openpgp, org/bouncycastle/util, org/bouncycastle/bcpg, org/bouncycastle/jcajce, org/bouncycastle/jce, org/bouncycastle/math, org/bouncycastle/crypto, org/bouncycastle/asn1, org/bouncycastle/x509, ], c69dedcb9d943958c3dfad0aed0efdfa}
a: {a, b69649b40ebeec0773571bfed8ceb7fb}
kotlin/ranges: {kotlin/ranges, 02a231e7d9f521f597c147d4e92c9a87}
androidx/tracing: {androidx/tracing, 0d5278ceb5c3fb70e7818631ecf53519}
org/sufficientlysecure/keychain: {org/sufficientlysecure/keychain, d0aaa924fd1f6fc6c58f7bea7cffe9ef}
okio: {okio, 0290f3b84e6620a9437e4fcbf23b672d}
x: {x, 3c674a2f20eaa66125cf20832e759795}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, c9adac8e05894bbb7933a98cb5a2659d}
