a6: {a6, d7453c57354d1de2473416843a607030}
r4: {r4, bee33d0c2c34aaea6b21df64cb6d351c}
androidx/compose/ui: {androidx/compose/ui, 588f514f015252987287782d003680b7}
y5: {y5, 91a2ac43984aeddc874eae33e0494fc9}
b0: {b0, 68e4329cc8c454a6a17cf3db95141c14}
m2: {m2, 660b6f35ca9dfa9cb8c1a681398b931e}
s4: {s4, a8ed7d53a3531169e12d88c7c9a43129}
j9: {j9, 05879b8f759f743dfd12a0881cce8295}
b8: {b8, c6405a3ca62f698cc997abeeaed32f74}
h5: {h5, 80d53fbc94ce7f884f3f2810d1b7d5e4}
n8: {n8, 4f6ac2c523c96026e97fc28080f14901}
i5: {i5, be91524bd743257af9d587cc5f385f93}
w5: {w5, 07b47a9ec7ed2d12c77dd5b0c1bf0d2a}
c2: {c2, 7c57da8c50a3cfc90e21143d0f891fe0}
a3: {a3, e1b38b536e99cd297ae3a4045ce684f3}
z4: {z4, 22910c5641d4c69f4a9fe360c1494091}
androidx/fragment/app: {androidx/fragment/app, 6d186ab8b6a176efa62a476f12a99f4f}
t5: {t5, 1a0b35b4bc1ccd4e1e84733493c39d57}
j0: {j0, 7178391726a84d317866e6444fd9c6bb}
l3: {l3, 8b2f21b2f26fde7be669aea7309db31d}
n3: {n3, a6f5b756884d1a6ea185a90d64dd3a4b}
u1: {u1, d64affc75ae23b09184d89803d43042a}
e: {e, 5a818d55c4a32b25544e8eff546d764f}
p5: {p5, fd8b3972e543b08f7f941e0a770abc16}
d3: {d3, 5d3a2af95472bd3ac807880c5ac6547f}
l0: {l0, dd8834bc8f9c20fdb669e593a9be591d}
f3: {f3, 4b6fa45508e26d061319d8a8e11e24a6}
k2: {k2, 0c35cbe8aac1d17fc24f8a4c156b206b}
m: {m, c5ea54b919c28d775914b122c8cd1dac}
q9: {q9, aebf6eb2e52f29095f8e9d9c16dbc65d}
e3: {e3, b5bb07a9529b1b00c113e021769f7a8d}
v1: {v1, 9d86b980649691d588bee1a7f40e663d}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
s7: {s7, 4582e851e951e72c44c0975b059d7f27}
y4: {y4, 1db159007ec3ae16402d0ce7c0ff70ae}
s6: {s6, 226bc1bdfa04361679d93da68db17d48}
q0: {q0, 76a2bfa95140eb3f0c06377450529e09}
r0: {r0, 925f009577c5e594a0c632ac82c4bf64}
f0: {f0, 85106cd5bce59f5079b491bb3e141add}
u8: {u8, 26af86062c8e4981664d1f9e0704d91b}
c5: {c5, ee6607d1b3f973b8db90e3c32874e8f5}
w4: {w4, ad1cc71590b9d8e34330a34336c53fa0}
m9: {m9, 4979dae14c92accb50ab26eaf964ded3}
r5: {r5, d67088a211b3d3d1846078c994cd874b}
f8: {f8, 7c351856c9c25c7e743146e53ee2fc10}
z2: {z2, cfbada1e7349ab7c4264244ab1f6509b}
o4: {o4, eaa28309ffb2fd39c15b5c090c86d0ac}
m1: {m1, 1876a7a2285ab4a11fa01ee40e57bbe3}
b4: {b4, 7d7887b4779fcc15b229ab7f215a5ee1}
x2: {x2, f0d06a1e21091e3fec15c6e914d79b4f}
g2: {g2, 9a5bb94a699379d9bf1103c643f364a3}
a2: {a2, 245662ecd654c6fbc102cfb93b1c1f7b}
h6: {h6, b508aa81dbd7a904c58a4fe4e99e6e55}
n9: {n9, 858463b999deb120c7f048b7898d4c61}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
n0: {n0, 112c4994d4b4789bad71796fda31ef89}
u0: {u0, 0d6dc721711187b696aadfe29b0d034e}
k5: {k5, afab78ce7a8c0d48082c669263c3f599}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 4693b5fdc8920a1094ee63aaf9827a45}
z5: {z5, 85a41ff3ff33f205b668c6e0b4dbbbeb}
i1: {i1, 9598afa2d46f18165e9ab70cc630eb22}
f: {f, dd538a936cb67cbf4f04b23dbcbec760}
v6: {v6, 2c9cfb80c5e1bb7b3c645ff8ab3e618a}
l4: {l4, d51cfecc06598b8c525a3348abfae488}
i9: {i9, f89931197783f82c8388b9e0fda7056c}
p6: {p6, b58ac6c1eaa9f19fee922b61903e5e89}
d4: {d4, 1e07075e42aa0db34a8e208e72057ff3}
e2: {e2, fac7ac5a28fbb5987ddbc357916be816}
t6: {t6, 2dc1a962104382b16749698a8a1bfdd2}
j1: {j1, c6c01440e1d65d37a2924ce5dbbc71fc}
u: {u, d8406af952354240a3cfea337ae2f1ae}
q8: {q8, 05879b8f759f743dfd12a0881cce8295}
android/view: {android/view, 4051f7603a40d4c52dbcbec105c0dbf3}
w7: {w7, 17f6f4c6069d186131c294a01110277b}
m8: {m8, f2a603a1e3e81d8c19d3234a05f1971e}
x4: {x4, 163e40c24dab0b0d2770d479dd280ed1}
e9: {e9, 46d18565952901aaa3fcfddc1505713d}
y3: {y3, b141b16b7caba103c274adb2429a62cf}
c4: {c4, 6a5ae6966aa1d26800f74cb4b8c02495}
a9: {a9, 02a5b9c7f38a9127b3c5ed594f3c29be}
p7: {p7, be7dba413430c9287b5af0aa4e9e1711}
s1: {s1, abf3ed16cf099d1136ce53e6f9db81d4}
o: {o, 2ea84593eda8b6b5608f8a1c6598c31c}
f1: {f1, d58cc2423817221e16a849ef59e26b70}
c7: {c7, bb9a44a50288ed53912c9af44560ed92}
z3: {z3, fd8fd4507b757c5bbbda0684e8e96012}
a1: {a1, dc10835c06de89c61e9df5973a4ecd65}
h7: {h7, b4203cb93dc14f625113216d5c5384ba}
n6: {n6, 36d5bf123c09b261e787306744bf3822}
w: {w, e6b02893b4b2f1c976bd606dabc7c18d}
f9: {f9, acf7ef943fdeb3cbfed8dd0d8f584731}
s2: {s2, a2c9458dd12dba849d7904b2a0cd58fa}
i7: {i7, 2d876488bd9c838ad23a36e03f201433}
s8: {s8, 7c16cbb03991c88cfc1841c5e1359f8e}
x3: {x3, 365c298f9f26e80fe7e2f1bf27e92ff9}
g5: {g5, 227bdeeb773826aa101659427cf3a364}
n7: {n7, aa6154fc60b1abf1baba4faa221a2f64}
d0: {d0, ced99d02d43f7c1424851ff538cea79a}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 3ca13530802245b58f6f34bd87702f13}
g: {g, d30ecec88a7013637fdb847db399ca61}
n1: {n1, 84d03331af2e7d338035c2dee4ec8a6a}
u7: {u7, 61a093bd65fea7682149b04d0ac00659}
v7: {v7, be612dbe7dec743a22ada49097035fff}
b1: {b1, f90ae28f407c69898242a174e83f3ed8}
l5: {l5, 9a5fbfcf36ad88718fb609c9a6f2684a}
i0: {i0, 9a561f609e6ee1e110efad4caf3077ef}
q7: {q7, b35170aab8e5f4f18370871a37f2751a}
s0: {s0, 4ee6dfc930e22e18416ca99806266158}
u4: {u4, 4317ec6fc3fd903ad208535e49c94360}
i8: {i8, 42f8e77ae409faa61568195b581bd4ae}
androidx/compose/animation: {androidx/compose/animation, 247948a2373476406f2a6246caada978}
v: {v, d9016f352b09a06c04bc5571e7ee78c1}
r2: {r2, e047bcc07e251734757451851d7102f0}
e1: {e1, fafbc2d39a541d6b1e231bc4e8bb0460}
t7: {t7, 93073c2ec7eedd7c162821e45e474ff5}
j6: {j6, 5932e542274736b428307af72cc41b31}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
b7: {b7, 0cb2b60e824726e2c0a3dcbf589bf301}
w6: {w6, 2c9cfb80c5e1bb7b3c645ff8ab3e618a}
h: {h, c413c49bae93a76d6a8e1d2649051f86}
s3: {s3, 4fbc93927c8ed6f9c26a86279b817010}
c9: {c9, 6fa36472effee066418132bc48d9ea47}
z8: {z8, f2ec36a68496da0c6f695dc501a00b0a}
a8: {a8, 839d48b486e18bbd03d4949220f39a79}
p0: {p0, 9e5d562e7a9b5be2e2cbf48c60a009e2}
p: {p, 7f3b574f001722dce91b2d3e0c8993d0}
androidx/emoji2/text: {androidx/emoji2/text, ade286cc3209e1e32f49a6f0cec34d4c}
z0: {z0, 130cc0e8b828d6b48eb8ce40fcac71f6}
a0: {a0, b256a2346e10e66783a3b8d11620fa66}
h0: {h0, 19e9beea0923506d61e17eba74634f5d}
i6: {i6, 7ddd732817cfa67aa62b37de0fd4ff91}
e8: {e8, 6edd69eee29bc4ec539fb93765dda2e7}
x8: {x8, 1487c8e70168d8adbd746a202f8ad3b4}
g4: {g4, 66aa954b9f17a1d3e376aa4e0d509d72}
androidx/core/content: {androidx/core/content, ccf7c7456ea865528325e706e1e4bb27}
s5: {s5, 23882968cb650b63a1d5763cbe1348d7}
z7: {z7, efe78fdd0df510e1abba36277485b8b1}
u6: {u6, 894c55af04c7d6dd19cc27d55e0320c2}
k7: {k7, a772f269d99291249829c0d771cb1b79}
p8: {p8, db23dfb3ecb282110d64cc11b204f095}
o7: {o7, 4d6fc1b87aac7a484109d36457d6a12c}
y2: {y2, f18b0c3c6b4d9ed478a546676d4f8ae1}
b6: {b6, b20e31a8dbb1a6b51b4d4ad72d88e095}
v4: {v4, b90accc56f2cacb86e355ea97a6fa9f7}
q6: {q6, 036a74e35daf8d7b987d381e614dbe51}
t8: {t8, 47bbec6e945b60b67a926a36692c5ee0}
r3: {r3, 9403a8831b9aa305608fbd8281bcd808}
f6: {f6, 92a80e3f311b3ba04b2c5c95f24c8a83}
j7: {j7, d725fe90e8617f8a5d09aa72a944f1a7}
androidx/compose/material: {androidx/compose/material, f770e0af11c987ee68be48b5e84c901f}
c6: {c6, 3f2377d1eefdfe0e02690df263211732}
y7: {y7, cff396b2852d0a31db2acab2386aec6d}
r8: {r8, b4842ea66f4189c09ce22c030dcd8912}
l6: {l6, 735545fe868ac65b8af0d65b55a144fe}
x5: {x5, 7394c4c6d1a97fdcdb6c0eef5e27bbd4}
d5: {d5, 594e4d96bd9e89ec62b623ff3ebcf90b}
org/xmlpull/v1: {org/xmlpull/v1, 20c07bdd12307eaef6ae05c3c5d53a15}
l8: {l8, 3deddd48b0c0a13c5088453bdee0359f}
p1: {p1, 4bed033ec36defdde671a5e14bb606ed}
d7: {d7, df1d20d8818ba3182ef4dd6d8d556008}
g7: {g7, bb0bd7acffa7782a5d908168611d657c}
q: {q, 8b445b2bf242f866c61bf8873704ae41}
h1: {h1, e506930e1f2a8cd80fb78df56fbbfd7c}
n4: {n4, da8d1905d73fd95f54ec0bc7a420cf3d}
k9: {k9, 66ec1e54a72db3dcfc43bad9d336caeb}
y1: {y1, b737b8fd0ca54895f7ca2410b91a26fb}
y6: {y6, 8086138030b63889d8c914926d6c6a46}
o1: {o1, b15f4a57a412ec850b9e64ab1fadbd77}
t0: {t0, b8cc4f97b1a974ec8e499669d9a51d8c}
v5: {v5, 6ff809461ff500d7edfca79e623f05f8}
a: {a, 23494f7a07b720bc0bf5ff6d5b39444a}
p9: {p9, 7665fd7c1817a54c0a8e6b2ecc090fe4}
l7: {l7, 9fda02eb24a0ab48b3ce36ee696f6c39}
t1: {t1, df24622603d38e3abd6563c0de9d0547}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
o6: {o6, b1b867b7f63d68606d3fee11a659590a}
m7: {m7, b4a0f6ff98aba6003906a79c7fcfa8cf}
t9: {t9, 55b0891b0ec184c863c26140c90b1697}
j4: {j4, 070a86dc0461ec7efb4a9324610acef5}
w1: {w1, c11182233c303a328ad135e47ec65ed1}
q5: {q5, dd9804b2e55c9b1da588b855ac05a49d}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 9f34b974e145b8fe9026e90e974d9dba}
e7: {e7, 4758cca815ad8caece7b2a920ead4238}
f7: {f7, 30fca3c14c02be01bee2c6c9c0108bda}
u5: {u5, fe76feb3406cf0c97a5956e27aa6b293}
k6: {k6, f246f2c2fe77eb662c7902b4c07b700d}
m0: {m0, 9e52b9c1e494b2cc127d1a4c51db250b}
h8: {h8, db9bcc977198fe2abb45598ee099decb}
