androidx/appcompat: {androidx/appcompat, c8db957bd2f32c653013fab5d927c354}
kotlin/collections: {kotlin/collections, 372179046f1e336676655236592ae4c9}
androidx/fragment: {androidx/fragment, 362674d45f8a422a5e51f16b027d7a2b}
androidx/media3/container: {androidx/media3/container, 4da4f72e74a8f0897182c7701922a84d}
com/seafile/seadroid2: {com/seafile/seadroid2, b9371f127f943180ab6b7d637053b356}
androidx/customview/widget: {androidx/customview/widget, 91f0d2da97f7b9a5908e6ab7d2b63007}
me/relex/circleindicator: {me/relex/circleindicator, 5554279247d83c558814fc2b378dce88}
kotlin: {kotlin, c031dcac4b35058b9bc2bddc74f92d4f}
androidx/media3/extractor: {androidx/media3/extractor, a01c73e899fcd9857eed3f2b3d281f9c}
kotlin/coroutines: {kotlin/coroutines, e2488fd93ba5f072c09fc50fb34395fa}
androidx/interpolator/view: {androidx/interpolator/view, b0cd30ad7edc905a01d8c1d4b1903fa4}
com/vladsch/flexmark: {com/vladsch/flexmark, 3541e9842a47c67c4c838b8b6076fa6d}
androidx/window/layout: {androidx/window/layout, 3e155e98783d95556eadb243696f1676}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, d6aaf3d159ac14e2c764ee09ed494382}
com/nostra13/universalimageloader: {com/nostra13/universalimageloader, 547ce592dfc35100ac58c380e4d0e5cf}
androidx/emoji2/text: {androidx/emoji2/text, 538b22025524ce375e549ccac0d9eb25}
com/bumptech/glide: {com/bumptech/glide, 623d146265e64b1d712d725a182d8fb2}
androidx/window/core: {androidx/window/core, 3d76c3c0c86a9a019e7e888339744b28}
kotlin/ranges: {kotlin/ranges, ee1021c74ee16675c0615bd4129cea3f}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
com/github/chrisbanes: {com/github/chrisbanes, bc440caa6d291752dc2a60cfe251131f}
com/google/gson: {com/google/gson, a10652bbabac6cfb854dcaa4aa6e6186}
okio: {okio, c62aa99449b989d0136c207b456656d1}
