androidx/appcompat: {androidx/appcompat, 93e16dade10d3d500307102f76efd067}
android/app: {android/app, e8d2bc513f3d23f259a9d7d777714e05}
androidx/viewpager2: {androidx/viewpager2, 59a6345ad103915efebb8f5a966c6258}
com/bumptech/glide: {com/bumptech/glide, afda6e73abaa6490cc9053545c12b34e}
androidx/customview/view: {androidx/customview/view, b1d5abd995e9ea85c4f1b74bbe68864c}
android/support/customtabs: {android/support/customtabs, f9e2a0f11f14cdd1ffcfa1294f408161}
com/google/i18n: {com/google/i18n, 18e692162d2e94bba03b35db281525ec}
androidx/recyclerview: {androidx/recyclerview, a315dd4f514d3dfbebb23833316b2a5a}
kotlin/comparisons: {kotlin/comparisons, 0e4e63997945c252d2dd5ef348c08817}
at/favre/lib: {at/favre/lib, b9b1be31c8cf3ccf44ba8a8ad066a8dc}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, c05561b31d2a6b96d956d82a03522799}
kotlin/jvm: {kotlin/jvm, 5a45e14caab58d8f0360cdfd5926d2b0}
kotlin/io: {kotlin/io, 3a68c10e87e7a6bd8d220e36ad0c317b}
androidx/compose/runtime: {androidx/compose/runtime, 8e698cdfa06986aa37dcccc65950a314}
com/google/errorprone: {com/google/errorprone, 099e161be09be031d389e06114eb7eaa}
androidx/profileinstaller: {androidx/profileinstaller, a7285e8200bc8b0bc77534de1c58659f}
androidx/emoji2/text: {androidx/emoji2/text, aaf50b8ef6a912cd31a9e05264db46f5}
com/vanniktech/ui: {com/vanniktech/ui, 5437d7635ceca5f3f30acd01effa8398}
androidx/media3/exoplayer: {androidx/media3/exoplayer, 08a1fde9eb247a20c3cd28e7358ab1eb}
androidx/autofill/inline: {androidx/autofill/inline, 149b4a6128bdabdf91225d1a21d1c017}
android/webkit: {android/webkit, c4e9eeb25e17c46354752ac4239a9772}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 2b207bae69ea08c4c9217922f2646569}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, f8eb2699ab34d2e43726b46c885e0a66}
androidx/sqlite/util: {androidx/sqlite/util, 34ffb0c68e62b3f33dbd388feb05c53e}
com/google/zxing: {com/google/zxing, 3b43ec83614720bfc5b297729dd38e4c}
dagger/internal: {dagger/internal, a81d7d4c7426c707d3e48839c8de6a14}
jp/wasabeef/glide: {jp/wasabeef/glide, bcfebcfa2e28ec3a5667ce6c6e9afd9e}
androidx/loader/content: {androidx/loader/content, dc9b91d53bdee33a223f559531fc3565}
androidx/webkit: {androidx/webkit, 8165a835b464a2d6e41acf4f4af89a0c}
com/squareup/moshi: {com/squareup/moshi, 08661f3484ff68fee48cc1fec6951a9f}
d: {d, 272b18236e5fff765eaa5aaaec66a426}
kotlinx/android/extensions: {kotlinx/android/extensions, 191fe9beba04a3cc778045538dd8a997}
androidx/arch/core: {androidx/arch/core, 9001940e3b12b89b7ca0454d96a97300}
kotlin/properties: {kotlin/properties, 0d082d2bb36bd459bec94a78ee6e268c}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, e22e044fe6406588284dcdcd38cf86a9}
androidx/legacy/content: {androidx/legacy/content, 49bc0b719644cf0d3fa6e8ed5329ffe0}
androidx/media3/decoder: {androidx/media3/decoder, 6235137aa2e78a9bf101db919234a4c8}
android/net/http: {android/net/http, de1c2b92945417ecd988923d07abfa41}
androidx/cardview: {androidx/cardview, 47f662e3369ac590550198ebcf5e7781}
androidx/concurrent/futures: {androidx/concurrent/futures, 4e0d3849f6e9bf53d7e77fa3787926f3}
androidx/window/embedding: {androidx/window/embedding, be4ec5501a20daa0e6fad192803dea31}
kotlin/collections: {kotlin/collections, 464694db25fb39d20e46cbc75e0f2285}
io/element/android: {io/element/android, cd7a8dd5fdf653f4c3e722ff7e6ef69e}
androidx/fragment: {androidx/fragment, 044e7ed769cc13faef6b711a7c5d4ef4}
androidx/media3/container: {androidx/media3/container, b0319cb1238d0a4ab8709de5961c86a1}
com/otaliastudios/opengl: {com/otaliastudios/opengl, 4b3a251709ad4219162e479931606f27}
kotlin/contracts: {kotlin/contracts, 10d686ecea8b1df0daa24cc4d5e99aff}
androidx/customview/widget: {androidx/customview/widget, abf209fe2b3d54f12e0d57dc914b4581}
kotlin: {kotlin, d4d916a391740e68778f95e79a80b1ad}
androidx/media3/extractor: {androidx/media3/extractor, 1d085a7bcb02d05417c1d1163ba2b20b}
kotlinx/serialization/encoding: {[kotlinx/serialization/descriptors, kotlinx/serialization/encoding, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/coroutines: {kotlin/coroutines, f8fb12463b2ae262fcc01cd916988bdf}
kotlin/concurrent: {kotlin/concurrent, e640939e0a6e1c3614b002cb0307a23b}
dagger/hilt: {dagger/hilt, 000a0b666b1679647909f84c5eb23158}
androidx/hilt/work: {androidx/hilt/work, e640939e0a6e1c3614b002cb0307a23b}
by/kirich1409/viewbindingdelegate: {by/kirich1409/viewbindingdelegate, 5f0c4511be0087d163c5b0a74f8cd5e3}
androidx/interpolator/view: {androidx/interpolator/view, 5ecd05c851231d6c149245d383f9310e}
com/budiyev/android: {com/budiyev/android, ae319de9482cc62fe791f69ca7da09bc}
com/sun/jna: {com/sun/jna, 590835b5b0233931285c19b698cfdc0c}
com/github/penfeizhou: {com/github/penfeizhou, 181b6bad71586c15d295b92022ec818d}
androidx/paging: {androidx/paging, ce829f5530c37914d7b4685ecf4a1262}
com/google/thirdparty: {com/google/thirdparty, 86de34f1641c697b69f46f3c10eb731a}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 01648a550efee40dffb39ee856396373}
androidx/work: {androidx/work, 614f866298a9fa9ea914fe3c8e8b2d95}
androidx/browser/trusted: {androidx/browser/trusted, 673576d7f485973f81ac3356d95c6266}
kotlin/time: {kotlin/time, 7db71158fe18e0ce0b2d6f7dfcee703d}
_COROUTINE: {_COROUTINE, b208b774dad1c708f9053c13f69a0082}
androidx/exifinterface/media: {androidx/exifinterface/media, 8195f16725d79de2aeb0a8c57885c214}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/print: {androidx/print, 45635f2fb5fd12e5398d1b094d97737a}
a: {a, 9e8952a9546c54e20de4d0b1af2c44ce}
com/otaliastudios/transcoder: {com/otaliastudios/transcoder, 6ffd03a819b1c88b766603029bee6970}
androidx/window/core: {androidx/window/core, 105ecd06aa8db2a487a20bec7763e58e}
kotlin/ranges: {kotlin/ranges, a568542c6b95fd3495ee52a073b765fe}
androidx/tracing: {androidx/tracing, 8f8e2cae1f0d2ac7cc7a6083d45b648a}
com/jsibbold/zoomage: {com/jsibbold/zoomage, a181a4351b2dd01b830b3cea66a0a92f}
com/google/gson: {com/google/gson, fdc43290a889b2a74a79cc4f8b752ee5}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 981f7e948b0aa317c243b7aefce0915f}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, a8b505f0cfad849d98810df5d8fb05d2}
