p2: {p2, 56ce29682736e25b3d66938f0291db93}
q1: {q1, d76f64d8ae2d5fac51af2132138d8c73}
U0: {U0, 27b24fd65c72b8165e484bffed60af05}
x1: {x1, 633496fb076d1cb0f3d0071f9209c3b7}
androidx/media: {androidx/media, 1d23be934011c940f64b0c0d58b9ba23}
androidx/browser/customtabs: {androidx/browser/customtabs, 27a9aac83420e483af50aea36beaed87}
androidx/viewpager/widget: {androidx/viewpager/widget, 53d6fa6ae0512efd4e326002d0cc5d0a}
S: {S, d15249c015956fd6fea2d819d170c192}
D: {D, cd010b36576baf25f46e2eff4e96838c}
b0: {b0, 0cf9046e7dbbf7d8e331cb0db4755dfa}
m2: {m2, d9df8eff68f3431477270bb30ec73cd4}
androidx/test/annotation: {androidx/test/annotation, 542dd9699021b2a489ba6c7d8f6e4a23}
L: {L, d49f5eb5e80019c611f440b715c886b6}
F2: {F2, af9ddc5309e090da344adc638a92a47f}
androidx/emoji2/text: {androidx/emoji2/text, a24440a2b03761cb48e7938dcd9dbb42}
J1: {J1, 2fb3165960d067bb766fba09ba706d01}
D2: {D2, 223883f5e799501834f570ba71fe5730}
c2: {c2, c46a172a6c3052a006209a14b5e5d350}
u: {u, 0b3cc92f01fd743bfa805d2a0001c8e3}
Q1: {Q1, b0c75cd98442a202b0329a8ea907b868}
androidx/fragment/app: {androidx/fragment/app, 72a797475ef5cefa789bd4ac0152ff46}
G1: {G1, 1829a9574b35e701b2ce18bd854706cd}
C0: {C0, 9680bbe7b84084fa57eb39a9f9d72c07}
j0: {j0, 5b6215cc153eb747b4943d4e394d2e06}
B2: {B2, 62c71b2b7e8d756e86b2e67eb8dc8b52}
u1: {u1, 9a488434335b57c913dd452b1e8ffe66}
e: {e, 23881b6c3907c71ee94e047782642662}
l0: {l0, 58d77415f15d9c0540ad77e93e3f284f}
k2: {k2, 0c2d63225dd785adf4e8b2c0338e0505}
m: {m, dce0d77c0c73297caa68cd585be1b705}
f2: {f2, 638150c68e066496f77f0601b300d724}
v1: {v1, dc431c823ad131522f1ad41e18350259}
b1: {b1, 95aff78472e7745dd6b2f8d244d40174}
q0: {q0, beeee0bb8b90eaf7e3e44616bad897fa}
f0: {f0, d12d13157fca00b472eb1c1d686dd97f}
androidx/core/app: {androidx/core/app, 0b7b5cddaf37557bdbae1ad842692b61}
androidx/profileinstaller: {androidx/profileinstaller, 79b48af4852b5f3f484ed7634a7fade5}
I0: {I0, 5874ca762f277a4788bbc72ab6fba10a}
E: {E, 53b7c2b5a53d37273bc341449616fdce}
z2: {z2, 14300c1653d59c3dda20c398f23da399}
androidx/appcompat/widget: {androidx/appcompat/widget, d7d861803934e9da3f39b43d9d1fa4be}
m1: {m1, 947c3e9421a4652423430cd5414509e7}
M: {M, 71dbe89589d912560424450865d41db9}
x2: {x2, 5475c7731cbdba8c7b8374865968c1a6}
v: {v, f69345028d8f7b7ce08f6bf3f5c6a05c}
a2: {a2, a73fbdedd4d5b0a18b5722297d60875a}
androidx/core/text: {androidx/core/text, c72a399c6362fe91fad756e1b39dffd6}
androidx/appcompat/view: {androidx/appcompat/view, f4e68d931527a59662ee356f5e72cb86}
G0: {G0, be6739d8ba5356f18990abe5e7eae6e6}
w0: {w0, f5d5c06b79f87578f35b3929b812685b}
u0: {u0, 5493548627c21ff7590d0c50fb92ec59}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 452a2649307521c3e5d22a8197424eb1}
Q0: {Q0, 34e8d0534d97cf0406b9f862fa9292b8}
X0: {X0, 635db77c086ac7cdcf6f8ac02916703f}
i1: {i1, 60c55d75588868029459ff4b948674e4}
f: {f, e36ff1d327a116aee8e7431fd53ca9ea}
h: {h, ef40014ba5ec7b1e85176afda4322f97}
n: {n, cbaca5f723875f2c76a462e332d2665a}
s1: {s1, 72fdfd67d7486f47ce9a3b15134b9650}
e2: {e2, defd52e58175a7328858a842ac395668}
j1: {j1, 828f01b6858c293abc10e992971c1202}
T: {T, 04dacda1e7ba50f3113989bcec76cc82}
N0: {N0, e2cd830b4083f2cc99fbd349cbe3d19f}
K: {K, fcef75d899b9b2b1c6d026d3027be76f}
F: {F, f17b9e55d99e0ed276e4d77f2e7fb856}
o: {o, 862aad334eb0bbe9bba1fbe072194f0f}
f1: {f1, 7add55884be70b2b1d32b13428d72deb}
a1: {a1, 86fd5de7cf1680567c7935ad2c0e5cae}
N: {N, 3e847f15dde27f0d5d1c43b5fadbd06b}
w: {w, 0086766b087b945aa2a1fcf8b6f3ed5e}
S1: {S1, dd952b70904e1918d89f6f934ed842bf}
E2: {E2, 2c3f8303e9b5b7c759e477d762222a9f}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, e43655dc4ff9d2d4a0acc30dafa0685c}
org/eu/exodus_privacy: {org/eu/exodus_privacy, f8d39c40aef8b7eedc11befe9cdbb32b}
y: {y, 2514ca91bbb826f66184b813c485de97}
X1: {X1, 1b8d0de4b5426e8c154eed8b85f77bd9}
n1: {n1, b2a2955061ced04cd62af131e6ebbdc0}
androidx/core/util: {androidx/core/util, 220b97e9282950bf5e4a5c743c56fc8e}
B0: {B0, 5f4476dba505d8e3e9c513843cdc4fa5}
i0: {i0, 5ef43b2e5f265f29e78337bdcd1962dd}
s0: {s0, 00f2fdbc3f80965fae57ef888f77b2aa}
androidx/concurrent/futures: {androidx/concurrent/futures, ff35c83b1c4b19cd82ab1899ba07547b}
Y1: {Y1, 2b42b19c7351cb2825ed66f816e910be}
r2: {r2, 9be22196b6ba119bb79e7df325ae34d9}
C2: {C2, 352358d16acc74a9ecc8d071d26c1bcc}
androidx/appcompat/app: {androidx/appcompat/app, 331150f1ad1dd756493fb24e7f3d7f1f}
y2: {y2, 65523f511416b6315476f8bae5dc2932}
G: {G, a97af96928fce879e7d224be61861bc4}
N1: {N1, 98b665c6bea809cc5ac61cbffce679b3}
T1: {T1, 30fca3c14c02be01bee2c6c9c0108bda}
androidx/core/view: {androidx/core/view, e695635e4ce647ee639b2e48106da3d0}
p0: {p0, bf7b979cc112bc91bf311bd856e19137}
W1: {W1, 955a2a1d7c4b3f56901628e75ce90054}
S0: {S0, f41372e072161ad5bb70782b8d1e590f}
z0: {z0, 8ac1b3ffbb2dd3447a4e976d9d3fd89a}
a0: {a0, 74426297b17512a7a7a521b9e325fd2e}
h0: {h0, e30326d28296d780820ad48c1494ebb5}
E1: {E1, 1ce2d9dbcb056c3ca1586851ccc19150}
androidx/core/content: {androidx/core/content, 92bda29d8509435bee7a2aca40e61afe}
B1: {B1, 3936d2ccec8be6d011019b854fad655a}
F0: {F0, 456f1fbb87971ac32189a282c682852c}
m0: {m0, 8b0ff42d352db8ef3ca7091a3e508a32}
t0: {t0, 6b9f74b75562eeea7460240c930bafe4}
P0: {P0, 2ff122727183c27ba745ea24cc6d3018}
e0: {e0, b40da14134c79ba1138f6224782a3230}
com/google/gson: {com/google/gson, 4485c979f44431787a7bcc4c2b2b4313}
M1: {M1, 3c12fc6b8f55fab0318e6b22ba73f244}
H0: {H0, 10fe493d9ed794903852b4b642616a6b}
G2: {G2, 67fb2b250db35fb9b7c21360d7438424}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, b7283f1d0aa741e411175398c0173cff}
A2: {A2, d8e60ef61a785759d83abae6d2b92e80}
M0: {M0, ed4b8616b0b6bcb79ad7d0cdb44c04ac}
i: {i, 9a65d473ea427aef377f5d55eaa0b7dc}
p1: {p1, 420e47386ebcf746d825287010bb5395}
s2: {s2, 07518596d15321b1cc37a8df83c375df}
W0: {W0, c1acde3c180e6dc2b37208a22ec8a343}
E0: {E0, 79277bd3145ba0c6fb9990efa52b62b8}
q: {q, 7a7fc1f65b48bfe3189d6fbba07b2c3b}
y1: {y1, 4418f8b7c008f3eb5fa8e9907d5d71d7}
o1: {o1, acf7ef943fdeb3cbfed8dd0d8f584731}
K1: {K1, 471e6bcbcd2d252478e6b24552c4d38c}
a: {a, 3533ae5775a44232598909b102de8af8}
t1: {t1, 753dd07387c81f003c02a5cc1034cd55}
androidx/versionedparcelable: {androidx/versionedparcelable, 3d03a7f562052deb572b09f5d51f72a0}
P1: {P1, acf7ef943fdeb3cbfed8dd0d8f584731}
O: {O, 330b4de1580147cd3eb5c7a7ba3f4093}
F1: {F1, 0c608cdbe898bdb961f16f9a41aae701}
A1: {A1, 1e8d1ecb09d749a23ba181a22b0b9836}
w1: {w1, d27b71d72ae5ba8e8772c615b05820c0}
H1: {H1, da1d2b8bbeed68b4556b9602ef31b205}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 48b68fae64e5f63f34160b4f7abb380f}
x: {x, 311dde4a32f2aba718531d1d3b4c400c}
r0: {r0, 1da1c6b9be9ad4bb3f83f6bbaf51a48f}
